,Medical material,Arterial wall calcification,Cardiomegaly,Pericardial effusion,Coronary artery wall calcification,Hiatal hernia,Lymphadenopathy,Emphysema,Atelectasis,Lung nodule,Lung opacity,Pulmonary fibrotic sequela,Pleural effusion,Mosaic attenuation pattern,Peribronchial thickening,Consolidation,Bronchiectasis,Interlobular septal thickening
Medical material,0.0,0.022600889205932617,0.019393861293792725,0.07088208198547363,0.02332669496536255,0.020883619785308838,0.020597100257873535,0.028837144374847412,0.03018355369567871,0.03481113910675049,0.01805514097213745,0.025792479515075684,0.021137475967407227,0.02704477310180664,0.017592310905456543,0.015242815017700195,0.031341552734375,0.022330939769744873
Arterial wall calcification,0.022600889205932617,0.0,0.009754538536071777,0.03190869092941284,0.001044154167175293,0.010550975799560547,0.005675852298736572,0.004655241966247559,0.01013803482055664,0.009259164333343506,0.004443764686584473,0.005851089954376221,0.026865243911743164,0.013343274593353271,0.006746530532836914,0.02092289924621582,0.008147716522216797,0.007270932197570801
Cardiomegaly,0.019393861293792725,0.009754538536071777,-1.1920928955078125e-07,0.0531163215637207,0.008196473121643066,0.018851637840270996,0.011107444763183594,0.02024918794631958,0.011649072170257568,0.021970927715301514,0.009630203247070312,0.012903034687042236,0.023634254932403564,0.008068680763244629,0.011409282684326172,0.013670921325683594,0.010826528072357178,0.011686563491821289
Pericardial effusion,0.07088208198547363,0.03190869092941284,0.0531163215637207,0.0,0.030484020709991455,0.04253417253494263,0.03853839635848999,0.023350238800048828,0.03650856018066406,0.026148498058319092,0.03362607955932617,0.02763843536376953,0.07661378383636475,0.052173733711242676,0.04127216339111328,0.06363147497177124,0.04406923055648804,0.035380005836486816
Coronary artery wall calcification,0.02332669496536255,0.001044154167175293,0.008196473121643066,0.030484020709991455,5.960464477539063e-08,0.012085676193237305,0.004178941249847412,0.004393398761749268,0.006084620952606201,0.007052361965179443,0.003724396228790283,0.004667818546295166,0.025032639503479004,0.013096213340759277,0.005291998386383057,0.021139860153198242,0.006970524787902832,0.008824288845062256
Hiatal hernia,0.020883619785308838,0.010550975799560547,0.018851637840270996,0.04253417253494263,0.012085676193237305,0.0,0.010290265083312988,0.011297881603240967,0.019881904125213623,0.01586252450942993,0.008857250213623047,0.008895635604858398,0.04009139537811279,0.016793012619018555,0.014312326908111572,0.01906907558441162,0.017721176147460938,0.010877728462219238
Lymphadenopathy,0.020597100257873535,0.005675852298736572,0.011107444763183594,0.03853839635848999,0.004178941249847412,0.010290265083312988,0.0,0.005695223808288574,0.008123576641082764,0.007722735404968262,0.0036049485206604004,0.005556881427764893,0.019413530826568604,0.01394742727279663,0.003480851650238037,0.018767952919006348,0.008473038673400879,0.011084437370300293
Emphysema,0.028837144374847412,0.004655241966247559,0.02024918794631958,0.023350238800048828,0.004393398761749268,0.011297881603240967,0.005695223808288574,0.0,0.011014819145202637,0.0046686530113220215,0.006771266460418701,0.004580259323120117,0.03270953893661499,0.021744072437286377,0.0078105926513671875,0.03117591142654419,0.012172460556030273,0.014031529426574707
Atelectasis,0.03018355369567871,0.01013803482055664,0.011649072170257568,0.03650856018066406,0.006084620952606201,0.019881904125213623,0.008123576641082764,0.011014819145202637,0.0,0.0066738128662109375,0.0060814619064331055,0.007651209831237793,0.030104756355285645,0.01431262493133545,0.009877681732177734,0.026073336601257324,0.012688875198364258,0.016661226749420166
Lung nodule,0.03481113910675049,0.009259164333343506,0.021970927715301514,0.026148498058319092,0.007052361965179443,0.01586252450942993,0.007722735404968262,0.0046686530113220215,0.0066738128662109375,0.0,0.006148040294647217,0.003928422927856445,0.037155210971832275,0.02178502082824707,0.010110974311828613,0.030173957347869873,0.014737606048583984,0.0182611346244812
Lung opacity,0.01805514097213745,0.004443764686584473,0.009630203247070312,0.03362607955932617,0.003724396228790283,0.008857250213623047,0.0036049485206604004,0.006771266460418701,0.0060814619064331055,0.006148040294647217,0.0,0.0036858320236206055,0.022523581981658936,0.011522352695465088,0.004385411739349365,0.012371599674224854,0.009968161582946777,0.00685882568359375
Pulmonary fibrotic sequela,0.025792479515075684,0.005851089954376221,0.012903034687042236,0.02763843536376953,0.004667818546295166,0.008895635604858398,0.005556881427764893,0.004580259323120117,0.007651209831237793,0.003928422927856445,0.0036858320236206055,5.960464477539063e-08,0.03247648477554321,0.014528632164001465,0.007708728313446045,0.02049398422241211,0.009772181510925293,0.010316848754882812
Pleural effusion,0.021137475967407227,0.026865243911743164,0.023634254932403564,0.07661378383636475,0.025032639503479004,0.04009139537811279,0.019413530826568604,0.03270953893661499,0.030104756355285645,0.037155210971832275,0.022523581981658936,0.03247648477554321,0.0,0.03390878438949585,0.013823449611663818,0.023713350296020508,0.030429422855377197,0.029282569885253906
Mosaic attenuation pattern,0.02704477310180664,0.013343274593353271,0.008068680763244629,0.052173733711242676,0.013096213340759277,0.016793012619018555,0.01394742727279663,0.021744072437286377,0.01431262493133545,0.02178502082824707,0.011522352695465088,0.014528632164001465,0.03390878438949585,5.960464477539063e-08,0.01589035987854004,0.018480896949768066,0.016534090042114258,0.015436351299285889
Peribronchial thickening,0.017592310905456543,0.006746530532836914,0.011409282684326172,0.04127216339111328,0.005291998386383057,0.014312326908111572,0.003480851650238037,0.0078105926513671875,0.009877681732177734,0.010110974311828613,0.004385411739349365,0.007708728313446045,0.013823449611663818,0.01589035987854004,1.1920928955078125e-07,0.016221046447753906,0.00728154182434082,0.012733101844787598
Consolidation,0.015242815017700195,0.02092289924621582,0.013670921325683594,0.06363147497177124,0.021139860153198242,0.01906907558441162,0.018767952919006348,0.03117591142654419,0.026073336601257324,0.030173957347869873,0.012371599674224854,0.02049398422241211,0.023713350296020508,0.018480896949768066,0.016221046447753906,0.0,0.02516305446624756,0.01443624496459961
