,Medical material,Arterial wall calcification,Cardiomegaly,Pericardial effusion,Coronary artery wall calcification,Hiatal hernia,Lymphadenopathy,Emphysema,Atelectasis,Lung nodule,Lung opacity,Pulmonary fibrotic sequela,Pleural effusion,Mosaic attenuation pattern,Peribronchial thickening,Consolidation,Bronchiectasis,Interlobular septal thickening
Medical material,5.960464477539063e-08,0.022824227809906006,0.019690334796905518,0.08578437566757202,0.0255090594291687,0.02568519115447998,0.024510979652404785,0.03475606441497803,0.0241052508354187,0.03404033184051514,0.017798423767089844,0.023895621299743652,0.03465437889099121,0.03216910362243652,0.016600608825683594,0.017400920391082764,0.036944448947906494,0.03412628173828125
Arterial wall calcification,0.022824227809906006,5.960464477539063e-08,0.01345449686050415,0.04387545585632324,0.0017175674438476562,0.010804414749145508,0.0067002177238464355,0.006476998329162598,0.0060367584228515625,0.009212970733642578,0.004987120628356934,0.007059693336486816,0.039736390113830566,0.014962315559387207,0.0075075626373291016,0.022351980209350586,0.01485353708267212,0.01755201816558838
Cardiomegaly,0.019690334796905518,0.01345449686050415,0.0,0.060561418533325195,0.017323315143585205,0.013582825660705566,0.011036157608032227,0.020901083946228027,0.010450005531311035,0.02434384822845459,0.015904605388641357,0.024158895015716553,0.019709110260009766,0.025476813316345215,0.012436389923095703,0.017192602157592773,0.01131206750869751,0.011970937252044678
Pericardial effusion,0.08578437566757202,0.04387545585632324,0.060561418533325195,-1.1920928955078125e-07,0.04266500473022461,0.04449164867401123,0.04034078121185303,0.026179194450378418,0.04156529903411865,0.030847489833831787,0.04399001598358154,0.04531985521316528,0.07822179794311523,0.06377571821212769,0.052735328674316406,0.06710338592529297,0.04918557405471802,0.04287147521972656
Coronary artery wall calcification,0.0255090594291687,0.0017175674438476562,0.017323315143585205,0.04266500473022461,0.0,0.01290208101272583,0.00702667236328125,0.006359279155731201,0.007749438285827637,0.008928775787353516,0.0042833685874938965,0.004801630973815918,0.04562973976135254,0.013617217540740967,0.009172677993774414,0.022401094436645508,0.017760396003723145,0.023366212844848633
Hiatal hernia,0.02568519115447998,0.010804414749145508,0.013582825660705566,0.04449164867401123,0.01290208101272583,0.0,0.008581995964050293,0.011330783367156982,0.011882364749908447,0.012241244316101074,0.0076563358306884766,0.01205289363861084,0.04454755783081055,0.017330825328826904,0.017011642456054688,0.014497816562652588,0.014989674091339111,0.012968480587005615
Lymphadenopathy,0.024510979652404785,0.0067002177238464355,0.011036157608032227,0.04034078121185303,0.00702667236328125,0.008581995964050293,1.1920928955078125e-07,0.005175113677978516,0.003258645534515381,0.005831301212310791,0.004492044448852539,0.009778261184692383,0.029333293437957764,0.02032536268234253,0.0058893561363220215,0.01913464069366455,0.009845554828643799,0.0162050724029541
Emphysema,0.03475606441497803,0.006476998329162598,0.020901083946228027,0.026179194450378418,0.006359279155731201,0.011330783367156982,0.005175113677978516,0.0,0.006151556968688965,0.002277374267578125,0.007342517375946045,0.008332908153533936,0.04327404499053955,0.024711549282073975,0.01120293140411377,0.030236482620239258,0.01428443193435669,0.021091341972351074
Atelectasis,0.0241052508354187,0.0060367584228515625,0.010450005531311035,0.04156529903411865,0.007749438285827637,0.011882364749908447,0.003258645534515381,0.006151556968688965,0.0,0.005858361721038818,0.006065487861633301,0.013190150260925293,0.025346100330352783,0.02480757236480713,0.006089627742767334,0.022000908851623535,0.011509597301483154,0.016130447387695312
Lung nodule,0.03404033184051514,0.009212970733642578,0.02434384822845459,0.030847489833831787,0.008928775787353516,0.012241244316101074,0.005831301212310791,0.002277374267578125,0.005858361721038818,-1.1920928955078125e-07,0.0063631534576416016,0.00858992338180542,0.04240483045578003,0.028096437454223633,0.01085197925567627,0.027947962284088135,0.017641007900238037,0.024856209754943848
